time, patient_state_id, AirO2Fraction.k, DV    , Ecg.ecg               , EithaPressure.pressure, HRAdd.y, TotalCompliance      , arterial.pCO2     , arterial.pH       , arterial.pO2     , arterial.sO2     , arterialPressure.diastolic, arterialPressure.systolic, cShuntFrac, currentHeartReat.y, filter.y          , lungs.q_in[1].m_flow , lungs.q_in[1].p, lungs.volume       , tissueUnit[1].pH  , venous.pH
0.0 ,                1,            0.21, 1050.0, -0.0002748944267857094,     10992.072130929664,     0.0, 5.199105775050237e-16, 41.54613375449162 , 7.386812807737829 , 88.28603549010668, 97.04250972783346,          81.80023769930702,         81.80023769930702,       95.0,  73.46724457731536, 31.000000000000004, 0.0008904656763187308,        101325.0, 0.2333724489795916 , 7.311116487770949 , 7.311077780763495
0.03,                1,            0.21, 1050.0, -0.04492459935625689  ,     11174.250934521624,     0.0, 5.199105775050237e-16, 41.5464609607597  , 7.3868106372060955, 88.27853227464574, 96.85006553697654,          81.80023769930702,         81.80023769930702,       95.0,  73.46724457731536, 31.000000000000004, 0.0008904656763187308,        101325.0, 0.23574489795918332, 7.311139502720843 , 7.311077711674564
0.06,                1,            0.21, 1050.0, 0.09391620740844897   ,     11211.578210171487,     0.0, 5.199105775050237e-16, 41.54697419577578 , 7.386807388844983 , 88.26660083796524, 96.6669638284757 ,          81.80023769930702,         81.80023769930702,       95.0,  73.46724457731536, 31.000000000000004, 0.0008904656763187308,        101325.0, 0.23811734693877498, 7.311188274804665 , 7.311077849845736
0.09,                1,            0.21, 1050.0, 0.12166789191415653   ,     11108.398117194476,     0.0, 5.199105775050237e-16, 41.54766669712356 , 7.386803076646396 , 88.25039434780183, 96.49245488802586,          81.80023769930702,         81.80023769930702,       95.0,  73.46724457731536, 31.000000000000004, 0.0008904656763188426,        101325.0, 0.24048979591836675, 7.311255107499739 , 7.311078173105065
0.12,                1,            0.21, 1050.0, -0.06787181422117236  ,     10950.87169873243 ,     0.0, 5.199105775050237e-16, 41.548534555949416, 7.386797552514771 , 88.23009065620711, 96.32583007601755,          81.80023769930702,         81.80023769930702,       95.0,  73.46724457731536, 31.000000000000004, 0.0008904656763188426,        101325.0, 0.24286224489795855, 7.311325151328435 , 7.311078573581816
0.15,                1,            0.21, 1050.0, -0.1346330490728615   ,     10805.855715208367,     0.0, 5.199105775050237e-16, 41.54956959149706 , 7.386790859306135 , 88.20588400097984, 96.16640607929045,          81.80023769930702,         81.80023769930702,       95.0,  73.46724457731536, 31.000000000000004, 0.0008904656763188426,        101325.0, 0.24523469387755034, 7.311394646536072 , 7.311079025665665
0.18,                1,            0.21, 1050.0, -0.0030806701129133   ,     14856.213251655689,     0.0, 5.199105775050237e-16, 41.550764090114335, 7.386783035392658 , 88.17796392322299, 96.01355885761882,          81.80023769930702,         81.80023769930702,       95.0,  73.46724457731536, 31.000000000000004, 0.0008904656763188426,        101325.0, 0.24760714285714208, 7.3114626780078575, 7.311079523120653
0.21,                1,            0.21, 1050.0, 0.0012164285168564386 ,     16677.05478216168 ,     0.0, 5.199105775050237e-16, 41.552112368910805, 7.386774055559282 , 88.14650419603315, 95.86673417075384,          81.80023769930702,         81.80023769930702,       95.0,  73.46724457731536, 31.000000000000004, 0.0008904656763188426,        101325.0, 0.2499795918367339 , 7.311526875443215 , 7.311080037476775
0.24,                1,            0.21, 1050.0, 0.0018454591266702076 ,     16283.544916538813,     0.0, 5.199105775050237e-16, 41.55361130090341 , 7.386763853328327 , 88.11163476377295, 95.72548176792633,          81.80023769930702,         81.80023769930702,       95.0,  73.46724457731536, 31.000000000000004, 0.0008904656763188426,        101325.0, 0.25235204081632573, 7.311575681810745 , 7.311080477346126
0.27,                1,            0.21, 1050.0, 0.004579309802242827  ,     15079.675181818267,     0.0, 5.199105775050237e-16, 41.5552498832992  , 7.386752646247806 , 88.07354550285118, 95.58929847018459,          81.80023769930702,         81.80023769930702,       95.0,  73.46724457731536, 31.000000000000004, 0.0008904656763188426,        101325.0, 0.25472448979591744, 7.311621524093148 , 7.311080931085555
0.3 ,                1,            0.21, 1050.0, 0.013065187102271808  ,     14000.890445933357,     0.0, 5.199105775050237e-16, 41.55701851174103 , 7.386740631133813 , 88.03240174953044, 95.45774977126875,          81.80023769930702,         81.80023769930702,       95.0,  73.46724457731536, 31.000000000000004, 0.0008904656763188426,        101325.0, 0.2570969387755093 , 7.311672623353807 , 7.311081462455383
