time, patient_state_id, AirO2Fraction.k, DV   , Ecg.ecg               , EithaPressure.pressure, HRAdd.y, TotalCompliance       , arterial.pCO2     , arterial.pH       , arterial.pO2     , arterial.sO2     , arterialPressure.diastolic, arterialPressure.systolic, cShuntFrac, currentHeartReat.y, filter.y          , lungs.q_in[1].m_flow , lungs.q_in[1].p, lungs.volume       , tissueUnit[1].pH  , venous.pH
0.0 ,                3,             0.6, 750.0, -0.0002748944267857094,     10992.072130929664, -10.0  , 1.0398211550100473e-15, 41.5460760504733  , 7.386813203441924 , 88.28726758170485, 97.14194313146214,          81.80023769930702,         81.80023769930702,       50.0,  63.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.2324062500000001 , 7.31111648695181  , 7.311077780748317
0.03,                3,             0.6, 750.0, -0.04492459935625689  ,     11174.250934521624, -10.0  , 1.0398211550100473e-15, 41.54622672929877 , 7.3868124108486075, 88.28348457081724, 97.04196792768109,          81.80023769930702,         81.80023769930702,       50.0,  63.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.2338125000000002 , 7.311160492949001 , 7.311077872952571
0.06,                3,             0.6, 750.0, 0.09391620740844897   ,     11211.578210171487, -10.0  , 1.0398211550100473e-15, 41.5464918530376  , 7.38681046474872  , 88.27708924808353, 96.94559715945789,          81.80023769930702,         81.80023769930702,       50.0,  63.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.2352187500000004 , 7.311159347130009 , 7.311077660471186
0.09,                3,             0.6, 750.0, 0.12166789191415653   ,     11108.398117194476, -10.0  , 1.0398211550100473e-15, 41.54684976695603 , 7.386807932777697 , 88.26838336426304, 96.85232128363779,          81.80023769930702,         81.80023769930702,       50.0,  63.46724457731534, 14.999999999999996, 0.000527816348463209 ,        101325.0, 0.23662500000000034, 7.31116488112501  , 7.3110774742400135
0.12,                3,             0.6, 750.0, -0.06787181422117236  ,     10950.87169873243 , -10.0  , 1.0398211550100473e-15, 41.547281744691105, 7.386805258894708 , 88.25765686554452, 96.76172188805072,          81.80023769930702,         81.80023769930702,       50.0,  63.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.23803125000000008, 7.311217760163466 , 7.311077643081756
0.15,                3,             0.6, 750.0, -0.1346330490728615   ,     10805.855715208367, -10.0  , 1.0398211550100473e-15, 41.54779739179625 , 7.386802126990335 , 88.24483006358112, 96.67372941477798,          81.80023769930702,         81.80023769930702,       50.0,  63.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.23943749999999986, 7.311287403391895 , 7.31107797749853
0.18,                3,             0.6, 750.0, -0.0030806701129133   ,     14856.213251655689, -10.0  , 1.0398211550100473e-15, 41.54839641240279 , 7.386798495917983 , 88.2299486549601 , 96.58818224458443,          81.80023769930702,         81.80023769930702,       50.0,  63.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.24084374999999952, 7.311366839284781 , 7.311078447908281
0.21,                3,             0.6, 750.0, 0.0012164285168564386 ,     16677.05478216168 , -10.0  , 1.0398211550100473e-15, 41.54907899985658 , 7.386794274085456 , 88.21307445270948, 96.50492171882561,          81.80023769930702,         81.80023769930702,       50.0,  63.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.2422499999999994 , 7.3114516522774355, 7.311079022674489
0.24,                3,             0.6, 750.0, 0.0018454591266702076 ,     16283.544916538813, -10.0  , 1.0398211550100473e-15, 41.549843597213695, 7.386789464176857 , 88.19426488828655, 96.42380589988538,          81.80023769930702,         81.80023769930702,       50.0,  63.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.24365624999999907, 7.31153806729386  , 7.311079675575982
0.27,                3,             0.6, 750.0, 0.004579309802242827  ,     15079.675181818267, -10.0  , 1.0398211550100473e-15, 41.55069124464629 , 7.3867839649491716, 88.17356179318935, 96.34471664244265,          81.80023769930702,         81.80023769930702,       50.0,  63.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.24506249999999885, 7.311614644550395 , 7.311080311828158
0.3 ,                3,             0.6, 750.0, 0.013065187102271808  ,     14000.890445933357, -10.0  , 1.0398211550100473e-15, 41.55162309281399 , 7.386777676232506 , 88.1510026012094 , 96.26754829520713,          81.80023769930702,         81.80023769930702,       50.0,  63.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.24646874999999846, 7.31167032051531  , 7.311080842285527
